INITIALS,SURNAME,TITLE,POST-NOMINALS,SALUTATION,PARTY,ELECTORATE,MINISTRY,CONTACT ADDRESS LINE1,CONTACT ADDRESS LINE2,CONTACT ADDRESS LINE3,CONTACT ADDRESS SUBURB,CONTACT ADDRESS STATE,CONTACT ADDRESS POSTCODE,CONTACT ADDRESS POBOX ,CONTACT ADDRESS POBOX SUBURB,CONTACT ADDRESS POBOX STATE,CONTACT ADDRESS POBOX POSTCODE,CONTACT ADDRESS EMAIL,CONTACT ADDRESS PHONE,CONTACT ADDRESS FAX,CONTACT ADDRESS WEBSITE,MINISTERIAL OFFICE ADDRESS LINE1,MINISTERIAL OFFICE ADDRESS LINE2,MINISTERIAL OFFICE ADDRESS LINE3,MINISTERIAL OFFICE ADDRESS SUBURB,MINISTERIAL OFFICE ADDRESS STATE,MINISTERIAL OFFICE ADDRESS POSTCODE,MINISTERIAL OFFICE POBOX ,MINISTERIAL OFFICE POBOX SUBURB,MINISTERIAL OFFICE POBOX STATE,MINISTERIAL OFFICE POBOX POSTCODE,MINISTERIAL OFFICE EMAIL,MINISTERIAL OFFICE PHONE,MINISTERIAL OFFICE FAX,MINISTERIAL OFFICE WEBSITE,ALTERNATIVE OFFICE ADDRESS LINE1,ALTERNATIVE OFFICE ADDRESS LINE2,ALTERNATIVE OFFICE ADDRESS LINE3,ALTERNATIVE OFFICE ADDRESS SUBURB,ALTERNATIVE OFFICE ADDRESS STATE,ALTERNATIVE OFFICE ADDRESS POSTCODE,ALTERNATIVE OFFICE POBOX ,ALTERNATIVE OFFICE POBOX SUBURB,ALTERNATIVE OFFICE POBOX STATE,ALTERNATIVE OFFICE POBOX POSTCODE,ALTERNATIVE OFFICE EMAIL,ALTERNATIVE OFFICE PHONE,ALTERNATIVE OFFICE FAX,ALTERNATIVE OFFICE WEBSITE,OFFICE HOLDER
J.K.,Aitchison,Ms,M.P.,Ms Aitchison,Australian Labor Party,Maitland,,34 Church Street,,,MAITLAND,NSW,2320,,,,,maitland@parliament.nsw.gov.au,(02) 4933 1617,(02) 4933 4782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.J.,Anderson,Mr,M.P.,Mr Anderson,The Nationals,Tamworth,,Ground Floor,13 Fitzroy Street,,TAMWORTH,NSW,2340,,,,,tamworth@parliament.nsw.gov.au,(02) 6766 1422,(02) 6766 6765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.J.,Aplin,Mr,M.P. BA(Hons),Mr Aplin,Liberal Party,Albury,,612 Dean Street,,,ALBURY,NSW,2640,,,,,albury@parliament.nsw.gov.au,(02) 6021 3042,(02) 6021 8884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.,Atalla,Mr,M.P. BEng(Civil),Mr Atalla,Australian Labor Party,Mount Druitt,,Office Suite 201,Westfield Shoppingtown,Carlisle Avenue,MOUNT DRUITT,NSW,2770,,,,,mountdruitt@parliament.nsw.gov.au,(02) 9625 6770,(02) 9625 9965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.L.,Ayres,The Hon.,M.P.,Minister,Liberal Party,Penrith,Minister for Trade Tourism and Major Events; and Minister for Sport,Shop 23 Ground Floor,Penrith Centre,510-534 High Street,PENRITH,NSW,2750,,,,,penrith@parliament.nsw.gov.au,(02) 4722 8660,(02) 4731 4782,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,office@ayres.minister.nsw.gov.au,(02) 8574 6500,(02) 9339 5522,,,,,,,,,,,,,,,,
M.B.,Baird,The Hon.,M.P.,Premier,Liberal Party,Manly,Premier; and Minister for Western Sydney,Shop 2,2 Wentworth Street,,MANLY,NSW,2095,,,,,manly@parliament.nsw.gov.au,(02) 9976 2773,(02) 9976 2993,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,"<a href = ""https://www.nsw.gov.au/your-government/contact-premier-new-south-wales"" target=""_new""> Contact the Premier</a>",(02) 8574 5000,(02) 9339 5500,,,,,,,,,,,,,,,,
G.D.,Barilaro,The Hon.,M.P.,Minister,The Nationals,Monaro,Minister for Regional Development; Minister for Skills; and Minister for Small Business,110-112 Monaro Street,,,QUEANBEYAN,NSW,2620,,,,,monaro@parliament.nsw.gov.au,(02) 6299 4899,(02) 6297 9998,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,office@barilaro.minister.nsw.gov.au,(02) 8574 5150,(02) 9339 5558,,,,,,,,,,,,,,,,
C.G.,Barr,Mr,M.P. BEd,Mr Barr,Australian Labor Party,Cessnock,,118 Vincent Street,,,CESSNOCK,NSW,2325,PO Box 242,Cessnock,NSW,2325,cessnock@parliament.nsw.gov.au,(02) 4991 1466<br> Toll free - 1300 550 114,(02) 4991 1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.,Berejiklian,The Hon.,M.P. BA DIntS MCom,Minister,Liberal Party,Willoughby,Treasurer; and Minister for Industrial Relations,280 Willoughby Road,,,NAREMBURN,NSW,2065,,,,,willoughby@parliament.nsw.gov.au,(02) 9439 4199,(02) 9439 9299,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,office@treasurer.nsw.gov.au,(02) 8574 5207,(02) 9339 5510,,,,,,,,,,,,,,,,
S.B.,Bromhead,Mr,M.P. LLM,Mr Bromhead,The Nationals,Myall Lakes,,Suite F4/F5,Level 1,1-9 Manning Street,TUNCURRY,NSW,2428,,,,,myalllakes@parliament.nsw.gov.au,(02) 6555 4099,(02) 6555 4780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Nationals Whip
